-------------------------
Circuit delay: 2844.5946ps
INPUT-P1_REG0_REG_23__SCAN_IN: 2113.1186 ps
INPUT-P1_REG0_REG_24__SCAN_IN: 2157.9464 ps
INPUT-P1_REG0_REG_25__SCAN_IN: 2140.7594 ps
INPUT-P1_REG0_REG_26__SCAN_IN: 2174.7336 ps
INPUT-P1_REG0_REG_27__SCAN_IN: 2094.5521 ps
INPUT-P1_REG0_REG_28__SCAN_IN: 2129.4945 ps
INPUT-P1_REG0_REG_29__SCAN_IN: 2298.0412 ps
INPUT-P1_REG0_REG_30__SCAN_IN: 1842.5403 ps
INPUT-P1_REG0_REG_31__SCAN_IN: 1833.9017 ps
INPUT-P1_REG1_REG_0__SCAN_IN: 1654.1847 ps
INPUT-P1_REG1_REG_1__SCAN_IN: 1687.1363 ps
INPUT-P1_REG1_REG_2__SCAN_IN: 1572.6821 ps
INPUT-P1_REG1_REG_3__SCAN_IN: 1511.5195 ps
INPUT-P1_REG1_REG_4__SCAN_IN: 1632.2359 ps
INPUT-P1_REG1_REG_5__SCAN_IN: 1561.4423 ps
INPUT-P1_REG1_REG_6__SCAN_IN: 1621.3344 ps
INPUT-P1_REG1_REG_7__SCAN_IN: 1689.1523 ps
INPUT-P1_REG1_REG_8__SCAN_IN: 1683.3894 ps
INPUT-P1_REG1_REG_9__SCAN_IN: 1708.198 ps
INPUT-P1_REG1_REG_10__SCAN_IN: 1611.8816 ps
INPUT-P1_REG1_REG_11__SCAN_IN: 1748.2317 ps
INPUT-P1_REG1_REG_12__SCAN_IN: 1812.8688 ps
INPUT-P1_REG1_REG_13__SCAN_IN: 1837.1664 ps
INPUT-P1_REG1_REG_14__SCAN_IN: 1840.3817 ps
INPUT-P1_REG1_REG_15__SCAN_IN: 1755.445 ps
INPUT-P1_REG1_REG_16__SCAN_IN: 1827.5617 ps
INPUT-P1_REG1_REG_17__SCAN_IN: 1948.4046 ps
INPUT-P1_REG1_REG_18__SCAN_IN: 2055.9017 ps
INPUT-P1_REG1_REG_19__SCAN_IN: 1969.6987 ps
INPUT-P1_REG1_REG_20__SCAN_IN: 2070.9587 ps
INPUT-P1_REG1_REG_21__SCAN_IN: 2027.8648 ps
INPUT-P1_REG1_REG_22__SCAN_IN: 1973.6684 ps
INPUT-P1_REG1_REG_23__SCAN_IN: 2113.1186 ps
INPUT-P1_REG1_REG_24__SCAN_IN: 2157.9464 ps
INPUT-P1_REG1_REG_25__SCAN_IN: 2140.7594 ps
INPUT-P1_REG1_REG_26__SCAN_IN: 2174.7336 ps
INPUT-P1_REG1_REG_27__SCAN_IN: 2094.5521 ps
INPUT-P1_REG1_REG_28__SCAN_IN: 2129.4945 ps
INPUT-P1_REG1_REG_29__SCAN_IN: 2298.0412 ps
INPUT-P1_REG1_REG_30__SCAN_IN: 1842.5403 ps
INPUT-P1_REG1_REG_31__SCAN_IN: 1833.9017 ps
INPUT-P1_REG2_REG_0__SCAN_IN: 1654.1844 ps
INPUT-P1_REG2_REG_1__SCAN_IN: 1687.1361 ps
INPUT-P1_REG2_REG_2__SCAN_IN: 1572.6819 ps
INPUT-P1_REG2_REG_3__SCAN_IN: 1511.5193 ps
INPUT-P1_REG2_REG_4__SCAN_IN: 1632.2357 ps
INPUT-P1_REG2_REG_5__SCAN_IN: 1561.4421 ps
INPUT-P1_REG2_REG_6__SCAN_IN: 1621.3342 ps
INPUT-P1_REG2_REG_7__SCAN_IN: 1689.1521 ps
INPUT-P1_REG2_REG_8__SCAN_IN: 1683.3892 ps
INPUT-P1_REG2_REG_9__SCAN_IN: 1708.1977 ps
INPUT-P1_REG2_REG_10__SCAN_IN: 1611.8814 ps
INPUT-P1_REG2_REG_11__SCAN_IN: 1748.2315 ps
INPUT-P1_REG2_REG_12__SCAN_IN: 1812.8686 ps
INPUT-P1_REG2_REG_13__SCAN_IN: 1837.1662 ps
INPUT-P1_REG2_REG_14__SCAN_IN: 1840.3815 ps
INPUT-P1_REG2_REG_15__SCAN_IN: 1755.4448 ps
INPUT-P1_REG2_REG_16__SCAN_IN: 1827.5615 ps
INPUT-P1_REG2_REG_17__SCAN_IN: 1948.4044 ps
INPUT-P1_REG2_REG_18__SCAN_IN: 2055.9015 ps
INPUT-P1_REG2_REG_19__SCAN_IN: 1969.6985 ps
INPUT-P1_REG2_REG_20__SCAN_IN: 2070.9585 ps
INPUT-P1_REG2_REG_21__SCAN_IN: 2027.8645 ps
INPUT-P1_REG2_REG_22__SCAN_IN: 1973.6681 ps
INPUT-P1_REG2_REG_23__SCAN_IN: 2113.1184 ps
INPUT-P1_REG2_REG_24__SCAN_IN: 2157.9462 ps
INPUT-P1_REG2_REG_25__SCAN_IN: 2140.7592 ps
INPUT-P1_REG2_REG_26__SCAN_IN: 2174.7334 ps
INPUT-P1_REG2_REG_27__SCAN_IN: 2094.5519 ps
INPUT-P1_REG2_REG_28__SCAN_IN: 2129.4943 ps
INPUT-P1_REG2_REG_29__SCAN_IN: 2298.041 ps
INPUT-P1_REG2_REG_30__SCAN_IN: 1842.5402 ps
INPUT-P1_REG2_REG_31__SCAN_IN: 1833.9015 ps
INPUT-P1_ADDR_REG_19__SCAN_IN: 291.0885 ps
INPUT-P1_ADDR_REG_18__SCAN_IN: 3025.8365 ps
INPUT-P1_ADDR_REG_17__SCAN_IN: 2976.7301 ps
INPUT-P1_ADDR_REG_16__SCAN_IN: 2937.0373 ps
INPUT-P1_ADDR_REG_15__SCAN_IN: 2897.3446 ps
INPUT-P1_ADDR_REG_14__SCAN_IN: 2857.6518 ps
INPUT-P1_ADDR_REG_13__SCAN_IN: 2817.9591 ps
INPUT-P1_ADDR_REG_12__SCAN_IN: 2778.2663 ps
INPUT-P1_ADDR_REG_11__SCAN_IN: 2738.5736 ps
INPUT-P1_ADDR_REG_10__SCAN_IN: 2698.8808 ps
INPUT-P1_ADDR_REG_9__SCAN_IN: 2659.1881 ps
INPUT-P1_ADDR_REG_8__SCAN_IN: 2619.4953 ps
INPUT-P1_ADDR_REG_7__SCAN_IN: 2579.8026 ps
INPUT-P1_ADDR_REG_6__SCAN_IN: 2540.1098 ps
INPUT-P1_ADDR_REG_5__SCAN_IN: 2500.4171 ps
INPUT-P1_ADDR_REG_4__SCAN_IN: 2460.7244 ps
INPUT-P1_ADDR_REG_3__SCAN_IN: 2421.0316 ps
INPUT-P1_ADDR_REG_2__SCAN_IN: 2381.331 ps
INPUT-P1_ADDR_REG_1__SCAN_IN: 2332.5104 ps
INPUT-P1_ADDR_REG_0__SCAN_IN: 2309.0659 ps
INPUT-P1_DATAO_REG_0__SCAN_IN: 1397.8473 ps
INPUT-P1_DATAO_REG_1__SCAN_IN: 1415.1092 ps
INPUT-P1_DATAO_REG_2__SCAN_IN: 1435.9057 ps
INPUT-P1_DATAO_REG_3__SCAN_IN: 1442.3178 ps
INPUT-P1_DATAO_REG_4__SCAN_IN: 1453.0114 ps
INPUT-P1_DATAO_REG_5__SCAN_IN: 1460.3593 ps
INPUT-P1_DATAO_REG_6__SCAN_IN: 1493.4365 ps
INPUT-P1_DATAO_REG_7__SCAN_IN: 1478.2534 ps
INPUT-P1_DATAO_REG_8__SCAN_IN: 1483.0055 ps
INPUT-P1_DATAO_REG_9__SCAN_IN: 1516.0811 ps
INPUT-P1_DATAO_REG_10__SCAN_IN: 1549.1591 ps
INPUT-P1_DATAO_REG_11__SCAN_IN: 1531.5434 ps
INPUT-P1_DATAO_REG_12__SCAN_IN: 1539.1425 ps
INPUT-P1_DATAO_REG_13__SCAN_IN: 1572.2181 ps
INPUT-P1_DATAO_REG_14__SCAN_IN: 1605.2961 ps
INPUT-P1_DATAO_REG_15__SCAN_IN: 1679.0592 ps
INPUT-P1_DATAO_REG_16__SCAN_IN: 1718.759 ps
INPUT-P1_DATAO_REG_17__SCAN_IN: 1758.4518 ps
INPUT-P1_DATAO_REG_18__SCAN_IN: 1798.1445 ps
INPUT-P1_DATAO_REG_19__SCAN_IN: 1837.8373 ps
INPUT-P1_DATAO_REG_20__SCAN_IN: 1877.53 ps
INPUT-P1_DATAO_REG_21__SCAN_IN: 1917.2228 ps
INPUT-P1_DATAO_REG_22__SCAN_IN: 1956.9155 ps
INPUT-P1_DATAO_REG_23__SCAN_IN: 1996.6083 ps
INPUT-P1_DATAO_REG_24__SCAN_IN: 2036.301 ps
INPUT-P1_DATAO_REG_25__SCAN_IN: 2075.9937 ps
INPUT-P1_DATAO_REG_26__SCAN_IN: 2115.6865 ps
INPUT-P1_DATAO_REG_27__SCAN_IN: 2155.3792 ps
INPUT-P1_DATAO_REG_28__SCAN_IN: 2165.9562 ps
INPUT-P1_DATAO_REG_29__SCAN_IN: 2327.8241 ps
INPUT-P1_DATAO_REG_30__SCAN_IN: 2378.1776 ps
INPUT-P1_DATAO_REG_31__SCAN_IN: 2343.9938 ps
INPUT-P1_B_REG_SCAN_IN: 2008.6166 ps
INPUT-P1_REG3_REG_15__SCAN_IN: 1618.5607 ps
INPUT-P1_REG3_REG_26__SCAN_IN: 2027.2149 ps
INPUT-P1_REG3_REG_6__SCAN_IN: 1284.2073 ps
INPUT-P1_REG3_REG_18__SCAN_IN: 1730.0119 ps
INPUT-P1_REG3_REG_2__SCAN_IN: 1573.7409 ps
INPUT-P1_REG3_REG_11__SCAN_IN: 1469.9592 ps
INPUT-P1_REG3_REG_22__SCAN_IN: 1878.6134 ps
INPUT-P1_REG3_REG_13__SCAN_IN: 1544.26 ps
INPUT-P1_REG3_REG_20__SCAN_IN: 1804.3126 ps
INPUT-P1_REG3_REG_0__SCAN_IN: 1655.2581 ps
INPUT-P1_REG3_REG_9__SCAN_IN: 1395.6585 ps
INPUT-P1_REG3_REG_4__SCAN_IN: 1210.1498 ps
INPUT-P1_REG3_REG_24__SCAN_IN: 1952.9141 ps
INPUT-P1_REG3_REG_17__SCAN_IN: 1692.8615 ps
INPUT-P1_REG3_REG_5__SCAN_IN: 1247.0589 ps
INPUT-P1_REG3_REG_16__SCAN_IN: 1655.7111 ps
INPUT-P1_REG3_REG_25__SCAN_IN: 1990.0645 ps
INPUT-P1_REG3_REG_12__SCAN_IN: 1507.1096 ps
INPUT-P1_REG3_REG_21__SCAN_IN: 1841.463 ps
INPUT-P1_REG3_REG_1__SCAN_IN: 1688.208 ps
INPUT-P1_REG3_REG_8__SCAN_IN: 1358.5081 ps
INPUT-P1_REG3_REG_28__SCAN_IN: 2091.8124 ps
INPUT-P1_REG3_REG_19__SCAN_IN: 1767.1622 ps
INPUT-P1_REG3_REG_3__SCAN_IN: 1210.1498 ps
INPUT-P1_REG3_REG_10__SCAN_IN: 1432.8088 ps
INPUT-P1_REG3_REG_23__SCAN_IN: 1915.7638 ps
INPUT-P1_REG3_REG_14__SCAN_IN: 1581.4104 ps
INPUT-P1_REG3_REG_27__SCAN_IN: 2056.484 ps
INPUT-P1_REG3_REG_7__SCAN_IN: 1321.3577 ps
INPUT-P1_STATE_REG_SCAN_IN: 2376.397 ps
INPUT-P1_RD_REG_SCAN_IN: 284.4595 ps
INPUT-P1_WR_REG_SCAN_IN: 3066.2696 ps
INPUT-P2_IR_REG_0__SCAN_IN: 975.8237 ps
INPUT-P2_IR_REG_1__SCAN_IN: 975.8237 ps
INPUT-P2_IR_REG_2__SCAN_IN: 975.8237 ps
INPUT-P2_IR_REG_3__SCAN_IN: 975.8237 ps
INPUT-P2_IR_REG_4__SCAN_IN: 975.8237 ps
INPUT-P2_IR_REG_5__SCAN_IN: 989.2482 ps
INPUT-P2_IR_REG_6__SCAN_IN: 989.2482 ps
INPUT-P2_IR_REG_7__SCAN_IN: 989.2482 ps
INPUT-P2_IR_REG_8__SCAN_IN: 989.2482 ps
INPUT-P2_IR_REG_9__SCAN_IN: 987.4215 ps
INPUT-P2_IR_REG_10__SCAN_IN: 987.4215 ps
INPUT-P2_IR_REG_11__SCAN_IN: 987.4215 ps
INPUT-P2_IR_REG_12__SCAN_IN: 987.4215 ps
INPUT-P2_IR_REG_13__SCAN_IN: 1021.8893 ps
INPUT-P2_IR_REG_14__SCAN_IN: 1021.8893 ps
INPUT-P2_IR_REG_15__SCAN_IN: 1021.8893 ps
INPUT-P2_IR_REG_16__SCAN_IN: 1047.4978 ps
INPUT-P2_IR_REG_17__SCAN_IN: 1044.9046 ps
INPUT-P2_IR_REG_18__SCAN_IN: 1044.9046 ps
INPUT-P2_IR_REG_19__SCAN_IN: 1044.9046 ps
INPUT-P2_IR_REG_20__SCAN_IN: 1044.9046 ps
INPUT-P2_IR_REG_21__SCAN_IN: 1079.3724 ps
INPUT-P2_IR_REG_22__SCAN_IN: 1079.3724 ps
INPUT-P2_IR_REG_23__SCAN_IN: 1079.3724 ps
INPUT-P2_IR_REG_24__SCAN_IN: 1104.9809 ps
INPUT-P2_IR_REG_25__SCAN_IN: 1185.586 ps
INPUT-P2_IR_REG_26__SCAN_IN: 1185.586 ps
INPUT-P2_IR_REG_27__SCAN_IN: 1206.2277 ps
INPUT-P2_IR_REG_28__SCAN_IN: 1206.2277 ps
INPUT-P2_IR_REG_29__SCAN_IN: 1283.8889 ps
INPUT-P2_IR_REG_30__SCAN_IN: 1318.2819 ps
INPUT-P2_IR_REG_31__SCAN_IN: 1132.8789 ps
INPUT-P2_D_REG_0__SCAN_IN: 1760.4394 ps
INPUT-P2_D_REG_1__SCAN_IN: 2324.8718 ps
INPUT-P2_D_REG_2__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_3__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_4__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_5__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_6__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_7__SCAN_IN: 2246.0689 ps
INPUT-P2_D_REG_8__SCAN_IN: 2246.0689 ps
INPUT-P2_D_REG_9__SCAN_IN: 2246.0689 ps
INPUT-P2_D_REG_10__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_11__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_12__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_13__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_14__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_15__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_16__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_17__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_18__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_19__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_20__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_21__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_22__SCAN_IN: 2246.0689 ps
INPUT-P2_D_REG_23__SCAN_IN: 2246.0689 ps
INPUT-P2_D_REG_24__SCAN_IN: 2246.0689 ps
INPUT-P2_D_REG_25__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_26__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_27__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_28__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_29__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_30__SCAN_IN: 2226.4662 ps
INPUT-P2_D_REG_31__SCAN_IN: 2226.4662 ps
INPUT-P2_REG0_REG_0__SCAN_IN: 1797.7622 ps
INPUT-P2_REG0_REG_1__SCAN_IN: 1771.5587 ps
INPUT-P2_REG0_REG_2__SCAN_IN: 1676.7269 ps
INPUT-P2_REG0_REG_3__SCAN_IN: 1622.3092 ps
INPUT-P2_REG0_REG_4__SCAN_IN: 1685.188 ps
INPUT-P2_REG0_REG_5__SCAN_IN: 1612.3652 ps
INPUT-P2_REG0_REG_6__SCAN_IN: 1693.8739 ps
INPUT-P2_REG0_REG_7__SCAN_IN: 1721.5658 ps
INPUT-P2_REG0_REG_8__SCAN_IN: 1715.6517 ps
INPUT-P2_REG0_REG_9__SCAN_IN: 1734.5892 ps
INPUT-P2_REG0_REG_10__SCAN_IN: 1643.2314 ps
INPUT-P2_REG0_REG_11__SCAN_IN: 1789.1772 ps
INPUT-P2_REG0_REG_12__SCAN_IN: 1818.3783 ps
INPUT-P2_REG0_REG_13__SCAN_IN: 1868.1098 ps
INPUT-P2_REG0_REG_14__SCAN_IN: 1893.4693 ps
INPUT-P2_REG0_REG_15__SCAN_IN: 1782.203 ps
INPUT-P2_REG0_REG_16__SCAN_IN: 1851.7043 ps
INPUT-P2_REG0_REG_17__SCAN_IN: 1975.3462 ps
